package_id,tracking_number,timestamp,Origin Location,Origin City,Origin Prefecture,Origin Longitude,Origin Latitude,Order Date,Current Location,Estimated Delivery Date,Delivery Exception Reason,Status,Perishable,Temperature,Temperature Issue,Current Longitude,Current Latitude,Delivery Longitude,Delivery Latitude,Delivery City,Delivery Prefecture,Route Distance KM,Estimated Transit Hours,RFID #,RFID Verified,RFID Failure %,RFID Failure Label,RFID Success %,RFID Success Label,Order Week,Estimated Delivery Duration Hours,Delivery Performance,RFID Reliability Category
PKG004,KZJP2026000004,2026-05-06 22:14:45.074052,"Noda, Chiba",Noda,Chiba,140.224700,35.627200,2026-05-06 14:30:15.212059,"Hasuda, Saitama",2026-05-07 02:36:43.964444,None,Delivered,NO,18.10,Ambient,139.544900,35.926600,139.544900,35.926600,Hasuda,Saitama,69.78,12.11,RFID-KZ-0004,YES,2.00,Low Risk,98.00,Excellent,"May 3-9, 2026",12.11,Delivered,Excellent
PKG024,KZJP2026000024,2026-05-06 22:26:27.813184,"Hino, Tokyo",Hino,Tokyo,139.640000,35.581200,2026-05-05 20:24:24.279987,"Ueda, Nagano",2026-05-06 22:51:25.074085,None,Delivered,NO,16.70,Ambient,138.110400,36.748300,138.110400,36.748300,Ueda,Nagano,188.93,26.45,RFID-KZ-0024,YES,1.05,Low Risk,98.95,Excellent,"May 3-9, 2026",26.45,Delivered,Excellent
PKG011,KZJP2026000011,2026-05-07 01:02:00.155584,"Kani, Gifu",Kani,Gifu,136.822900,35.313600,2026-05-05 08:03:19.383696,"Shiogama, Miyagi",2026-05-07 05:12:43.603034,None,Delivered,NO,13.50,Ambient,140.801300,38.365900,140.801300,38.365900,Shiogama,Miyagi,490.35,45.16,RFID-KZ-0011,YES,0.16,Low Risk,99.84,Excellent,"May 3-9, 2026",45.16,Delivered,Excellent
PKG032,KZJP2026000032,2026-05-07 12:38:16.829073,"Toba, Mie",Toba,Mie,136.473600,34.845100,2026-05-06 03:46:39.238924,"Takahashi, Okayama",2026-05-07 07:58:45.274407,None,Delivered,NO,21.90,Ambient,134.037900,34.675000,134.037900,34.675000,Takahashi,Okayama,223.30,28.20,RFID-KZ-0032,YES,0.55,Low Risk,99.45,Excellent,"May 3-9, 2026",28.20,Delivered,Excellent
PKG045,KZJP2026000045,2026-05-07 15:58:32.696779,"Etajima, Hiroshima",Etajima,Hiroshima,132.416900,34.276600,2026-05-03 21:31:05.421590,"Ishinomaki, Miyagi",2026-05-07 18:50:44.903417,None,Delivered,NO,23.00,Ambient,140.898200,38.386000,140.898200,38.386000,Ishinomaki,Miyagi,886.00,93.33,RFID-KZ-0045,YES,0.89,Low Risk,99.11,Excellent,"May 3-9, 2026",93.33,Delivered,Excellent
PKG016,KZJP2026000016,2026-05-07 16:16:08.939225,"Ako, Hyogo",Ako,Hyogo,135.086100,34.640700,2026-05-06 16:31:27.065783,"Kato, Hyogo",2026-05-07 11:52:23.561627,None,Delivered,NO,23.20,Ambient,135.182000,34.571000,135.182000,34.571000,Kato,Hyogo,11.71,19.35,RFID-KZ-0016,YES,2.08,Low Risk,97.92,Excellent,"May 3-9, 2026",19.35,Delivered,Excellent
PKG040,KZJP2026000040,2026-05-07 16:32:56.725776,"Chigasaki, Kanagawa",Chigasaki,Kanagawa,139.705600,35.549900,2026-05-05 07:34:32.954355,"Ako, Hyogo",2026-05-07 17:35:17.283188,None,Delivered,YES,5.80,Cool,135.086100,34.640700,135.086100,34.640700,Ako,Hyogo,432.22,58.01,RFID-KZ-0040,YES,1.47,Low Risk,98.53,Excellent,"May 3-9, 2026",58.01,Delivered,Excellent
PKG008,KZJP2026000008,2026-05-07 17:35:37.728960,"Yokote, Akita",Yokote,Akita,140.031900,39.815600,2026-05-06 10:47:47.795491,"Kesennuma, Miyagi",2026-05-07 19:35:33.238304,None,Delivered,NO,19.40,Ambient,140.752400,38.279900,140.752400,38.279900,Kesennuma,Miyagi,181.74,32.80,RFID-KZ-0008,YES,2.16,Low Risk,97.84,Excellent,"May 3-9, 2026",32.80,Delivered,Excellent
PKG020,KZJP2026000020,2026-05-07 23:35:43.903348,"Murakami, Niigata",Murakami,Niigata,138.927100,37.965700,2026-05-06 19:29:32.240496,"Adachi, Tokyo",2026-05-08 02:12:01.286507,None,Delivered,NO,19.60,Ambient,139.718000,35.572400,139.718000,35.572400,Adachi,Tokyo,275.29,30.71,RFID-KZ-0020,YES,2.28,Low Risk,97.72,Excellent,"May 3-9, 2026",30.71,Delivered,Excellent
PKG026,KZJP2026000026,2026-05-08 03:48:47.147648,"Kasukabe, Saitama",Kasukabe,Saitama,139.536300,35.811900,2026-05-06 05:27:40.892641,"Fukushima, Fukushima",2026-05-08 02:13:55.592073,None,Delivered,NO,16.80,Ambient,140.573100,37.807500,140.573100,37.807500,Fukushima,Fukushima,240.33,44.77,RFID-KZ-0026,YES,2.22,Low Risk,97.78,Excellent,"May 3-9, 2026",44.77,Delivered,Excellent
PKG021,KZJP2026000021,2026-05-08 06:36:29.603314,"Odate, Akita",Odate,Akita,139.983000,39.729600,2026-05-04 22:21:47.557394,"Mihara, Hiroshima",2026-05-08 06:49:24.522887,None,Delivered,NO,20.80,Ambient,132.332400,34.402400,132.332400,34.402400,Mihara,Hiroshima,900.29,80.46,RFID-KZ-0021,YES,0.97,Low Risk,99.03,Excellent,"May 3-9, 2026",80.46,Delivered,Excellent
PKG015,KZJP2026000015,2026-05-08 12:12:54.425739,"Maibara, Shiga",Maibara,Shiga,135.833600,34.889700,2026-05-06 22:53:58.015004,"Tsuruga, Fukui",2026-05-08 12:30:25.219905,None,Delivered,YES,5.60,Cool,136.247900,36.182300,136.247900,36.182300,Tsuruga,Fukui,148.54,37.61,RFID-KZ-0015,YES,0.96,Low Risk,99.04,Excellent,"May 3-9, 2026",37.61,Delivered,Excellent
PKG046,KZJP2026000046,2026-05-08 20:01:16.146687,"Taku, Saga",Taku,Saga,130.181300,33.274500,2026-05-04 18:26:28.713823,"Exception Hub near Toyooka, Hyogo",2026-05-08 03:12:32.789342,RFID verification issue at sorting facility,Not Delivered,NO,23.80,Ambient,133.936959,34.421499,135.160400,34.805000,Toyooka,Hyogo,489.26,80.77,RFID-KZ-0046,NO,19.85,High Risk,80.15,At Risk,"May 3-9, 2026",80.77,Exception,At Risk
PKG025,KZJP2026000025,2026-05-08 23:36:35.544614,"Minamiashigara, Kanagawa",Minamiashigara,Kanagawa,139.555400,35.530300,2026-05-08 15:12:02.659991,"Minato, Tokyo",2026-05-09 04:05:43.510893,None,Delivered,YES,4.10,Cool,139.621100,35.786500,139.621100,35.786500,Minato,Tokyo,29.10,12.89,RFID-KZ-0025,YES,1.20,Low Risk,98.80,Excellent,"May 3-9, 2026",12.89,Delivered,Excellent
PKG022,KZJP2026000022,2026-05-09 03:22:02.985286,"Handa, Aichi",Handa,Aichi,136.910900,35.061500,2026-05-07 15:47:21.851414,"Kawachinagano, Osaka",2026-05-09 02:29:39.408601,None,Delivered,NO,17.40,Ambient,135.506800,34.813600,135.506800,34.813600,Kawachinagano,Osaka,130.92,34.70,RFID-KZ-0022,YES,2.47,Low Risk,97.53,Excellent,"May 3-9, 2026",34.70,Delivered,Excellent
PKG010,KZJP2026000010,2026-05-09 07:30:14.855013,"Tomiya, Miyagi",Tomiya,Miyagi,140.935100,38.166900,2026-05-06 09:26:08.536637,"Matsubara, Osaka",2026-05-09 10:53:26.901100,None,Delivered,NO,21.70,Ambient,135.415200,34.776200,135.415200,34.776200,Matsubara,Osaka,620.90,73.46,RFID-KZ-0010,YES,1.43,Low Risk,98.57,Excellent,"May 3-9, 2026",73.46,Delivered,Excellent
PKG036,KZJP2026000036,2026-05-09 09:01:10.250523,"Higashikagawa, Kagawa",Higashikagawa,Kagawa,134.051100,34.222900,2026-05-08 00:03:15.887513,"Oda, Shimane",2026-05-09 08:57:13.604637,None,Delivered,NO,23.90,Ambient,132.961500,35.385600,132.961500,35.385600,Oda,Shimane,163.13,32.90,RFID-KZ-0036,YES,2.20,Low Risk,97.80,Excellent,"May 3-9, 2026",32.90,Delivered,Excellent
PKG006,KZJP2026000006,2026-05-09 11:06:55.451836,"Sukagawa, Fukushima",Sukagawa,Fukushima,140.472300,37.630100,2026-05-08 03:00:02.370815,"Tsukubamirai, Ibaraki",2026-05-09 13:57:37.965037,None,Delivered,NO,27.90,Danger Zone,140.524400,36.432900,140.524400,36.432900,Tsukubamirai,Ibaraki,133.20,34.96,RFID-KZ-0006,YES,2.63,Low Risk,97.37,Excellent,"May 3-9, 2026",34.96,Delivered,Excellent
PKG007,KZJP2026000007,2026-05-09 11:46:32.972710,"Shiroishi, Miyagi",Shiroishi,Miyagi,140.784800,38.186400,2026-05-07 11:01:42.425804,"Toyohashi, Aichi",2026-05-09 15:16:52.368176,None,Delivered,YES,4.10,Cool,136.932700,35.298500,136.932700,35.298500,Toyohashi,Aichi,469.94,52.25,RFID-KZ-0007,YES,2.02,Low Risk,97.98,Excellent,"May 3-9, 2026",52.25,Delivered,Excellent
PKG049,KZJP2026000049,2026-05-09 13:21:17.226631,"Tagajo, Miyagi",Tagajo,Miyagi,140.990200,38.288800,2026-05-08 10:02:31.049306,"Sumida, Tokyo",2026-05-09 14:24:41.581228,None,Delivered,NO,26.30,Ambient,139.784800,35.613700,139.784800,35.613700,Sumida,Tokyo,316.15,28.37,RFID-KZ-0049,YES,2.08,Low Risk,97.92,Excellent,"May 3-9, 2026",28.37,Delivered,Excellent
PKG012,KZJP2026000012,2026-05-09 13:56:50.857659,"Izu, Shizuoka",Izu,Shizuoka,138.263000,34.964600,2026-05-08 00:12:02.066949,"Muroto, Kochi",2026-05-10 00:08:41.395177,None,Delivered,NO,27.90,Danger Zone,133.557400,33.676800,133.557400,33.676800,Muroto,Kochi,455.19,47.94,RFID-KZ-0012,YES,0.67,Low Risk,99.33,Excellent,"May 3-9, 2026",47.94,Delivered,Excellent
PKG019,KZJP2026000019,2026-05-09 14:15:02.351343,"Otake, Hiroshima",Otake,Hiroshima,132.416900,34.506200,2026-05-08 10:56:02.296244,"Yabu, Hyogo",2026-05-09 14:02:10.020013,None,Delivered,YES,6.10,Cool,135.300700,34.632700,135.300700,34.632700,Yabu,Hyogo,264.41,27.10,RFID-KZ-0019,YES,0.97,Low Risk,99.03,Excellent,"May 3-9, 2026",27.10,Delivered,Excellent
PKG013,KZJP2026000013,2026-05-09 16:57:57.665546,"Otsuki, Yamanashi",Otsuki,Yamanashi,138.481200,35.581400,2026-05-08 16:35:46.086809,"Suwa, Nagano",2026-05-10 00:13:35.247700,None,Delivered,NO,20.70,Ambient,138.093900,36.568800,138.093900,36.568800,Suwa,Nagano,115.18,31.63,RFID-KZ-0013,YES,2.42,Low Risk,97.58,Excellent,"May 3-9, 2026",31.63,Delivered,Excellent
PKG034,KZJP2026000034,2026-05-10 00:07:17.584601,"Kyotanabe, Kyoto",Kyotanabe,Kyoto,135.658800,34.962100,2026-05-07 06:59:36.875537,"Tokamachi, Niigata",2026-05-10 01:28:47.508681,None,Delivered,YES,5.80,Cool,139.099500,38.018300,139.099500,38.018300,Tokamachi,Niigata,458.29,66.49,RFID-KZ-0034,YES,2.04,Low Risk,97.96,Excellent,"May 3-9, 2026",66.49,Delivered,Excellent
PKG050,KZJP2026000050,2026-05-10 01:34:29.614716,"Namegata, Ibaraki",Namegata,Ibaraki,140.527500,36.252600,2026-05-08 20:34:16.097756,"Hiratsuka, Kanagawa",2026-05-09 19:50:58.280686,None,Delivered,NO,18.40,Ambient,139.555400,35.365300,139.555400,35.365300,Hiratsuka,Kanagawa,131.98,23.28,RFID-KZ-0050,YES,2.48,Low Risk,97.52,Excellent,"May 3-9, 2026",23.28,Delivered,Excellent
PKG030,KZJP2026000030,2026-05-10 04:07:23.397441,"Koga, Fukuoka",Koga,Fukuoka,130.428000,33.473100,2026-05-08 06:13:00.337818,"Mino, Gifu",2026-05-10 13:42:24.551186,None,Delivered,NO,22.00,Ambient,136.852800,35.339800,136.852800,35.339800,Mino,Gifu,624.75,55.49,RFID-KZ-0030,YES,0.47,Low Risk,99.53,Excellent,"May 3-9, 2026",55.49,Delivered,Excellent
PKG035,KZJP2026000035,2026-05-10 09:28:13.655726,"Joso, Ibaraki",Joso,Ibaraki,140.509900,36.443500,2026-05-08 12:05:42.041046,"Kurobe, Toyama",2026-05-10 05:03:29.485038,None,Delivered,NO,22.30,Ambient,137.218200,36.576000,137.218200,36.576000,Kurobe,Toyama,294.55,40.96,RFID-KZ-0035,YES,2.69,Low Risk,97.31,Excellent,"May 3-9, 2026",40.96,Delivered,Excellent
PKG017,KZJP2026000017,2026-05-10 09:59:14.219755,"Gujo, Gifu",Gujo,Gifu,136.640200,35.404600,2026-05-08 20:12:39.983308,"Katsuragi, Nara",2026-05-10 11:19:55.812829,None,Delivered,NO,24.30,Ambient,135.723400,34.734600,135.723400,34.734600,Katsuragi,Nara,111.86,39.12,RFID-KZ-0017,YES,0.39,Low Risk,99.61,Excellent,"May 3-9, 2026",39.12,Delivered,Excellent
PKG031,KZJP2026000031,2026-05-10 10:32:42.709155,"Kameoka, Kyoto",Kameoka,Kyoto,135.861200,34.935800,2026-05-08 06:47:01.355106,"Toshima, Tokyo",2026-05-10 03:53:30.638093,None,Delivered,NO,24.60,Ambient,139.784700,35.765300,139.784700,35.765300,Toshima,Tokyo,367.57,45.11,RFID-KZ-0031,YES,1.98,Low Risk,98.02,Excellent,"May 3-9, 2026",45.11,Delivered,Excellent
PKG005,KZJP2026000005,2026-05-10 12:23:09.020899,"Hikari, Yamaguchi",Hikari,Yamaguchi,131.478200,34.058600,2026-05-09 05:04:56.793783,"Mima, Tokushima",2026-05-10 15:41:41.607651,None,Delivered,YES,5.60,Cool,134.652000,33.995300,134.652000,33.995300,Mima,Tokushima,292.56,34.61,RFID-KZ-0005,YES,2.50,Low Risk,97.50,Excellent,"May 3-9, 2026",34.61,Delivered,Excellent
PKG027,KZJP2026000027,2026-05-10 14:04:51.332919,"Kaminoyama, Yamagata",Kaminoyama,Yamagata,140.456400,38.164800,2026-05-08 13:23:52.414036,"Tajimi, Gifu",2026-05-10 16:24:13.871084,None,Delivered,NO,24.80,Ambient,136.640200,35.426600,136.640200,35.426600,Tajimi,Gifu,456.18,51.01,RFID-KZ-0027,YES,1.32,Low Risk,98.68,Excellent,"May 3-9, 2026",51.01,Delivered,Excellent
PKG029,KZJP2026000029,2026-05-10 14:50:42.418880,"Nikko, Tochigi",Nikko,Tochigi,139.887100,36.435200,2026-05-07 01:22:41.220084,"Shunan, Yamaguchi",2026-05-10 21:30:35.651529,None,Delivered,YES,5.50,Cool,131.364400,34.129000,131.364400,34.129000,Shunan,Yamaguchi,814.65,92.13,RFID-KZ-0029,YES,0.36,Low Risk,99.64,Excellent,"May 3-9, 2026",92.13,Delivered,Excellent
PKG042,KZJP2026000042,2026-05-10 16:54:20.626103,"Nakatsugawa, Gifu",Nakatsugawa,Gifu,136.764200,35.295700,2026-05-07 21:46:27.570721,"Shimotsuma, Ibaraki",2026-05-10 14:38:18.941064,None,Delivered,NO,23.30,Ambient,140.565100,36.361300,140.565100,36.361300,Shimotsuma,Ibaraki,362.54,64.86,RFID-KZ-0042,YES,0.24,Low Risk,99.76,Excellent,"May 3-9, 2026",64.86,Delivered,Excellent
PKG009,KZJP2026000009,2026-05-10 19:59:27.733176,"Oga, Akita",Oga,Akita,140.015400,39.636100,2026-05-07 21:37:57.812646,"Tosa, Kochi",2026-05-10 16:22:11.099658,None,Delivered,YES,5.10,Cool,133.444000,33.477200,133.444000,33.477200,Tosa,Kochi,901.39,66.74,RFID-KZ-0009,YES,1.94,Low Risk,98.06,Excellent,"May 3-9, 2026",66.74,Delivered,Excellent
PKG018,KZJP2026000018,2026-05-10 22:32:30.497007,"Rumoi, Hokkaido",Rumoi,Hokkaido,141.442200,42.671800,2026-05-07 10:30:37.375504,"Aisai, Aichi",2026-05-10 20:06:15.850304,None,Delivered,NO,17.70,Ambient,136.984000,35.272900,136.984000,35.272900,Aisai,Aichi,908.16,81.59,RFID-KZ-0018,YES,2.63,Low Risk,97.37,Excellent,"May 3-9, 2026",81.59,Delivered,Excellent
PKG044,KZJP2026000044,2026-05-11 00:33:54.286412,"Gotemba, Shizuoka",Gotemba,Shizuoka,138.445700,34.873600,2026-05-08 10:53:28.432311,"Minamisoma, Fukushima",2026-05-11 06:31:56.416065,None,Delivered,NO,16.70,Ambient,140.432800,37.864800,140.432800,37.864800,Minamisoma,Fukushima,377.18,67.64,RFID-KZ-0044,YES,1.67,Low Risk,98.33,Excellent,"May 3-9, 2026",67.64,Delivered,Excellent
PKG065,KZJP2026000065,2026-05-11 18:35:45.356676,"Chita, Aichi",Chita,Aichi,137.019100,35.222600,2026-05-10 17:29:58.102798,"Seki, Gifu",2026-05-11 15:19:18.526615,None,Delivered,NO,22.60,Ambient,136.672600,35.333100,136.672600,35.333100,Seki,Gifu,33.77,21.82,RFID-KZ-0065,YES,0.61,Low Risk,99.39,Excellent,"May 10-16, 2026",21.82,Delivered,Excellent
PKG092,KZJP2026000092,2026-05-11 20:48:36.506739,"Semboku, Akita",Semboku,Akita,139.993200,39.669100,2026-05-10 19:17:40.205663,"Kakuda, Miyagi",2026-05-12 00:40:03.194542,None,Delivered,NO,17.10,Ambient,140.965000,38.193100,140.965000,38.193100,Kakuda,Miyagi,184.39,29.37,RFID-KZ-0092,YES,1.90,Low Risk,98.10,Excellent,"May 10-16, 2026",29.37,Delivered,Excellent
PKG014,KZJP2026000014,2026-05-11 23:56:11.356941,"Arakawa, Tokyo",Arakawa,Tokyo,139.604600,35.772000,2026-05-09 17:31:25.363857,"Okayama, Okayama",2026-05-11 18:19:51.861570,None,Delivered,NO,17.90,Ambient,134.024900,34.712600,134.024900,34.712600,Okayama,Okayama,520.15,48.81,RFID-KZ-0014,YES,0.67,Low Risk,99.33,Excellent,"May 3-9, 2026",48.81,Delivered,Excellent
PKG091,KZJP2026000091,2026-05-12 01:55:01.624853,"Shibuya, Tokyo",Shibuya,Tokyo,139.656700,35.574700,2026-05-10 20:33:27.849131,"Matsusaka, Mie",2026-05-12 05:05:55.205185,None,Delivered,NO,17.10,Ambient,136.389100,34.741300,136.389100,34.741300,Matsusaka,Mie,311.16,32.54,RFID-KZ-0091,YES,0.46,Low Risk,99.54,Excellent,"May 10-16, 2026",32.54,Delivered,Excellent
PKG096,KZJP2026000096,2026-05-12 02:10:01.778631,"Kaminoyama, Yamagata",Kaminoyama,Yamagata,140.456400,38.164800,2026-05-11 00:14:54.470696,"Noda, Chiba",2026-05-12 07:08:25.992329,None,Delivered,NO,18.70,Ambient,140.224700,35.627200,140.224700,35.627200,Noda,Chiba,282.92,30.89,RFID-KZ-0096,YES,1.47,Low Risk,98.53,Excellent,"May 10-16, 2026",30.89,Delivered,Excellent
PKG041,KZJP2026000041,2026-05-12 07:24:35.085517,"Sendai, Miyagi",Sendai,Miyagi,140.977200,38.326400,2026-05-07 19:34:10.186419,"Fukutsu, Fukuoka",2026-05-12 08:07:12.992394,None,Delivered,YES,5.20,Cool,130.507000,33.532700,130.507000,33.532700,Fukutsu,Fukuoka,1081.97,108.55,RFID-KZ-0041,YES,2.05,Low Risk,97.95,Excellent,"May 3-9, 2026",108.55,Delivered,Excellent
PKG047,KZJP2026000047,2026-05-12 07:44:41.692787,"Onojo, Fukuoka",Onojo,Fukuoka,130.314600,33.672700,2026-05-09 12:55:24.630180,"Togane, Chiba",2026-05-12 05:56:25.390755,None,Delivered,NO,22.10,Ambient,139.997100,35.557800,139.997100,35.557800,Togane,Chiba,910.09,65.02,RFID-KZ-0047,YES,2.14,Low Risk,97.86,Excellent,"May 3-9, 2026",65.02,Delivered,Excellent
PKG084,KZJP2026000084,2026-05-12 12:08:41.683150,"Tondabayashi, Osaka",Tondabayashi,Osaka,135.620600,34.673800,2026-05-11 06:37:15.434930,"Komaki, Aichi",2026-05-12 08:20:57.065542,None,Delivered,YES,6.40,Cool,136.786900,35.170400,136.786900,35.170400,Komaki,Aichi,119.82,25.73,RFID-KZ-0084,YES,0.51,Low Risk,99.49,Excellent,"May 10-16, 2026",25.73,Delivered,Excellent
PKG073,KZJP2026000073,2026-05-12 15:21:31.791939,"Ageo, Saitama",Ageo,Saitama,139.650100,35.981300,2026-05-10 07:47:07.847278,"Takizawa, Iwate",2026-05-12 17:09:06.110543,None,Delivered,NO,21.80,Ambient,141.215700,39.601600,141.215700,39.601600,Takizawa,Iwate,425.40,57.37,RFID-KZ-0073,YES,1.92,Low Risk,98.08,Excellent,"May 10-16, 2026",57.37,Delivered,Excellent
PKG062,KZJP2026000062,2026-05-12 18:51:49.315007,"Mitsuke, Niigata",Mitsuke,Niigata,139.001400,38.031000,2026-05-11 06:14:34.217035,"Nanao, Ishikawa",2026-05-12 20:17:33.800754,None,Delivered,NO,18.80,Ambient,136.682800,36.678200,136.682800,36.678200,Nanao,Ishikawa,254.20,38.05,RFID-KZ-0062,YES,0.90,Low Risk,99.10,Excellent,"May 10-16, 2026",38.05,Delivered,Excellent
PKG069,KZJP2026000069,2026-05-13 00:53:34.014051,"Ikeda, Osaka",Ikeda,Osaka,135.415200,34.611200,2026-05-11 19:34:14.090867,"Toyonaka, Osaka",2026-05-12 18:21:35.349051,None,Delivered,NO,18.50,Ambient,135.382800,34.704700,135.382800,34.704700,Toyonaka,Osaka,10.81,22.79,RFID-KZ-0069,YES,1.81,Low Risk,98.19,Excellent,"May 10-16, 2026",22.79,Delivered,Excellent
PKG055,KZJP2026000055,2026-05-13 02:24:36.349580,"Shiroi, Chiba",Shiroi,Chiba,140.187100,35.518500,2026-05-11 15:40:33.390154,"Ashiya, Hyogo",2026-05-13 06:23:29.045715,None,Delivered,NO,21.30,Ambient,135.288500,34.614400,135.288500,34.614400,Ashiya,Hyogo,456.97,38.72,RFID-KZ-0055,YES,0.60,Low Risk,99.40,Excellent,"May 10-16, 2026",38.72,Delivered,Excellent
PKG054,KZJP2026000054,2026-05-13 06:02:47.773841,"Hanyu, Saitama",Hanyu,Saitama,139.708800,35.759400,2026-05-12 21:15:46.448453,"Higashikurume, Tokyo",2026-05-13 15:04:13.283599,None,Delivered,NO,21.30,Ambient,139.700300,35.569800,139.700300,35.569800,Higashikurume,Tokyo,21.10,17.81,RFID-KZ-0054,YES,0.23,Low Risk,99.77,Excellent,"May 10-16, 2026",17.81,Delivered,Excellent
