timestamp,package_id,current_location,temperature,temperature_celsius,status,waiting_time,traffic_status,tamper_alert
2026-06-05 10:34:58,SHP9670,,,,,0,Clear,No
2026-06-05 10:35:00,SHP3385,,,,Delayed,88,Clear,Yes
2026-06-05 10:35:02,SHP3385,,6.1°C,6.1,,88,Clear,Yes
2026-06-05 10:35:04,SHP3385,,,,,88,Clear,Yes
2026-06-05 10:35:06,SHP6846,,,,Delayed,31,Heavy,Yes
2026-06-05 10:35:07,SHP6846,,19.3°C,19.3,,31,Heavy,Yes
2026-06-05 10:35:09,SHP6846,,,,,31,Heavy,Yes
2026-06-05 10:35:11,SHP6411,,,,Out for Delivery,48,Heavy,Yes
2026-06-05 10:35:13,SHP6411,,18.5°C,18.5,,48,Heavy,Yes
2026-06-05 10:35:15,SHP6411,,,,,48,Heavy,Yes
2026-06-05 10:35:16,SHP5051,,,,Delivered,112,Heavy,No
2026-06-05 10:35:18,SHP5051,,10.9°C,10.9,,112,Heavy,No
2026-06-05 10:35:20,SHP5051,,,,,112,Heavy,No
2026-06-05 10:35:22,SHP2810,,,,Delivered,100,Heavy,No
2026-06-05 10:35:24,SHP2810,,20.2°C,20.2,,100,Heavy,No
2026-06-05 10:35:25,SHP2810,,,,,100,Heavy,No
2026-06-05 10:35:27,SHP5878,,,,In Transit,42,Detour,Yes
2026-06-05 10:35:29,SHP5878,,19.4°C,19.4,,42,Detour,Yes
2026-06-05 10:35:31,SHP5878,,,,,42,Detour,Yes
2026-06-05 10:35:33,SHP1478,,,,Out for Delivery,45,Heavy,Yes
2026-06-05 10:35:35,SHP1478,,12.9°C,12.9,,45,Heavy,Yes
2026-06-05 10:35:37,SHP1478,,,,,45,Heavy,Yes
2026-06-05 10:35:40,SHP8898,,,,Delayed,75,Detour,Yes
2026-06-05 10:35:42,SHP8898,,13.6°C,13.6,,75,Detour,Yes
2026-06-05 10:35:44,SHP8898,,,,,75,Detour,Yes
2026-06-05 10:35:46,SHP6021,,,,Delivered,62,Clear,Yes
2026-06-05 10:35:48,SHP6021,,23.9°C,23.9,,62,Clear,Yes
2026-06-05 10:35:50,SHP6021,,,,,62,Clear,Yes
2026-06-05 10:35:52,SHP9439,,,,Delivered,27,Clear,Yes
2026-06-05 10:35:54,SHP9439,,21.5°C,21.5,,27,Clear,Yes
2026-06-05 10:35:57,SHP9439,,,,,27,Clear,Yes
2026-06-05 10:35:59,SHP2179,,,,Out for Delivery,100,Clear,Yes
2026-06-05 10:36:02,SHP2179,,23.3°C,23.3,,100,Clear,Yes
2026-06-05 10:36:04,SHP2179,,,,,100,Clear,Yes
2026-06-05 10:36:06,SHP5944,,,,In Transit,59,Detour,Yes
2026-06-05 10:36:08,SHP5944,,8.6°C,8.6,,59,Detour,Yes
2026-06-05 10:36:10,SHP5944,,,,,59,Detour,Yes
2026-06-05 10:36:13,SHP7732,,,,Delivered,44,Clear,No
2026-06-05 10:36:15,SHP7732,,4.9°C,4.9,,44,Clear,No
2026-06-05 10:36:17,SHP7732,,,,,44,Clear,No
2026-06-05 10:36:19,SHP5185,,,,Delivered,93,Moderate,Yes
2026-06-05 10:36:49,SHP2076,,13.5°C,13.5,Delayed,80,Clear,No
2026-06-05 10:36:49,SHP3563,,14.8°C,14.8,In Transit,85,Clear,No
2026-06-05 10:36:49,SHP5185,,-4.1°C,-4.1,,93,Moderate,Yes
2026-06-05 10:36:49,SHP6669,,5.7°C,5.7,Delayed,98,Heavy,Yes
2026-06-05 10:36:50,SHP4292,,23.7°C,23.7,In Transit,4,Moderate,Yes
2026-06-05 10:36:50,SHP6849,,11.9°C,11.9,Delivered,16,Clear,No
2026-06-05 10:36:50,SHP7754,,-2.8°C,-2.8,Delayed,116,Moderate,No
2026-06-05 10:36:50,SHP9026,,-1.6°C,-1.6,In Transit,16,Heavy,Yes
