package_id,tracking_number,timestamp,Origin Location,Origin City,Origin Prefecture,Origin Longitude,Origin Latitude,Order Date,Current Location,Estimated Delivery Date,Delivery Exception Reason,Status,Perishable,Temperature,Temperature Issue,Current Longitude,Current Latitude,Delivery Longitude,Delivery Latitude,Delivery City,Delivery Prefecture,Route Distance KM,Estimated Transit Hours,RFID #,RFID Verified,RFID Failure %,RFID Failure Label,RFID Success %,RFID Success Label
PKG015,KZJP2026000015,2026-05-08 12:12:54.425739,"Maibara, Shiga",Maibara,Shiga,135.8336,34.8897,2026-05-06 22:53:58.015004,"Tsuruga, Fukui",2026-05-08 12:30:25.219905,None,Delivered,YES,5.6,Cool,136.2479,36.1823,136.2479,36.1823,Tsuruga,Fukui,148.54,37.61,RFID-KZ-0015,YES,0.96,Low Risk,99.04,Excellent
PKG046,KZJP2026000046,2026-05-08 20:01:16.146687,"Taku, Saga",Taku,Saga,130.1813,33.2745,2026-05-04 18:26:28.713823,"Exception Hub near Toyooka, Hyogo",2026-05-08 03:12:32.789342,RFID verification issue at sorting facility,Not Delivered,NO,23.8,Ambient,133.936959,34.421499,135.1604,34.805,Toyooka,Hyogo,489.26,80.77,RFID-KZ-0046,NO,19.85,High Risk,80.15,At Risk
PKG025,KZJP2026000025,2026-05-08 23:36:35.544614,"Minamiashigara, Kanagawa",Minamiashigara,Kanagawa,139.5554,35.5303,2026-05-08 15:12:02.659991,"Minato, Tokyo",2026-05-09 04:05:43.510893,None,Delivered,YES,4.1,Cool,139.6211,35.7865,139.6211,35.7865,Minato,Tokyo,29.1,12.89,RFID-KZ-0025,YES,1.2,Low Risk,98.8,Excellent
PKG022,KZJP2026000022,2026-05-09 03:22:02.985286,"Handa, Aichi",Handa,Aichi,136.9109,35.0615,2026-05-07 15:47:21.851414,"Kawachinagano, Osaka",2026-05-09 02:29:39.408601,None,Delivered,NO,17.4,Ambient,135.5068,34.8136,135.5068,34.8136,Kawachinagano,Osaka,130.92,34.7,RFID-KZ-0022,YES,2.47,Low Risk,97.53,Excellent
PKG010,KZJP2026000010,2026-05-09 07:30:14.855013,"Tomiya, Miyagi",Tomiya,Miyagi,140.9351,38.1669,2026-05-06 09:26:08.536637,"Matsubara, Osaka",2026-05-09 10:53:26.901100,None,Delivered,NO,21.7,Ambient,135.4152,34.7762,135.4152,34.7762,Matsubara,Osaka,620.9,73.46,RFID-KZ-0010,YES,1.43,Low Risk,98.57,Excellent
PKG036,KZJP2026000036,2026-05-09 09:01:10.250523,"Higashikagawa, Kagawa",Higashikagawa,Kagawa,134.0511,34.2229,2026-05-08 00:03:15.887513,"Oda, Shimane",2026-05-09 08:57:13.604637,None,Delivered,NO,23.9,Ambient,132.9615,35.3856,132.9615,35.3856,Oda,Shimane,163.13,32.9,RFID-KZ-0036,YES,2.2,Low Risk,97.8,Excellent
PKG006,KZJP2026000006,2026-05-09 11:06:55.451836,"Sukagawa, Fukushima",Sukagawa,Fukushima,140.4723,37.6301,2026-05-08 03:00:02.370815,"Tsukubamirai, Ibaraki",2026-05-09 13:57:37.965037,None,Delivered,NO,27.9,Danger Zone,140.5244,36.4329,140.5244,36.4329,Tsukubamirai,Ibaraki,133.2,34.96,RFID-KZ-0006,YES,2.63,Low Risk,97.37,Excellent
PKG007,KZJP2026000007,2026-05-09 11:46:32.972710,"Shiroishi, Miyagi",Shiroishi,Miyagi,140.7848,38.1864,2026-05-07 11:01:42.425804,"Toyohashi, Aichi",2026-05-09 15:16:52.368176,None,Delivered,YES,4.1,Cool,136.9327,35.2985,136.9327,35.2985,Toyohashi,Aichi,469.94,52.25,RFID-KZ-0007,YES,2.02,Low Risk,97.98,Excellent
PKG049,KZJP2026000049,2026-05-09 13:21:17.226631,"Tagajo, Miyagi",Tagajo,Miyagi,140.9902,38.2888,2026-05-08 10:02:31.049306,"Sumida, Tokyo",2026-05-09 14:24:41.581228,None,Delivered,NO,26.3,Ambient,139.7848,35.6137,139.7848,35.6137,Sumida,Tokyo,316.15,28.37,RFID-KZ-0049,YES,2.08,Low Risk,97.92,Excellent
PKG012,KZJP2026000012,2026-05-09 13:56:50.857659,"Izu, Shizuoka",Izu,Shizuoka,138.263,34.9646,2026-05-08 00:12:02.066949,"Muroto, Kochi",2026-05-10 00:08:41.395177,None,Delivered,NO,27.9,Danger Zone,133.5574,33.6768,133.5574,33.6768,Muroto,Kochi,455.19,47.94,RFID-KZ-0012,YES,0.67,Low Risk,99.33,Excellent
PKG019,KZJP2026000019,2026-05-09 14:15:02.351343,"Otake, Hiroshima",Otake,Hiroshima,132.4169,34.5062,2026-05-08 10:56:02.296244,"Yabu, Hyogo",2026-05-09 14:02:10.020013,None,Delivered,YES,6.1,Cool,135.3007,34.6327,135.3007,34.6327,Yabu,Hyogo,264.41,27.1,RFID-KZ-0019,YES,0.97,Low Risk,99.03,Excellent
PKG013,KZJP2026000013,2026-05-09 16:57:57.665546,"Otsuki, Yamanashi",Otsuki,Yamanashi,138.4812,35.5814,2026-05-08 16:35:46.086809,"Suwa, Nagano",2026-05-10 00:13:35.247700,None,Delivered,NO,20.7,Ambient,138.0939,36.5688,138.0939,36.5688,Suwa,Nagano,115.18,31.63,RFID-KZ-0013,YES,2.42,Low Risk,97.58,Excellent
PKG034,KZJP2026000034,2026-05-10 00:07:17.584601,"Kyotanabe, Kyoto",Kyotanabe,Kyoto,135.6588,34.9621,2026-05-07 06:59:36.875537,"Tokamachi, Niigata",2026-05-10 01:28:47.508681,None,Delivered,YES,5.8,Cool,139.0995,38.0183,139.0995,38.0183,Tokamachi,Niigata,458.29,66.49,RFID-KZ-0034,YES,2.04,Low Risk,97.96,Excellent
PKG050,KZJP2026000050,2026-05-10 01:34:29.614716,"Namegata, Ibaraki",Namegata,Ibaraki,140.5275,36.2526,2026-05-08 20:34:16.097756,"Hiratsuka, Kanagawa",2026-05-09 19:50:58.280686,None,Delivered,NO,18.4,Ambient,139.5554,35.3653,139.5554,35.3653,Hiratsuka,Kanagawa,131.98,23.28,RFID-KZ-0050,YES,2.48,Low Risk,97.52,Excellent
PKG030,KZJP2026000030,2026-05-10 04:07:23.397441,"Koga, Fukuoka",Koga,Fukuoka,130.428,33.4731,2026-05-08 06:13:00.337818,"Mino, Gifu",2026-05-10 13:42:24.551186,None,Delivered,NO,22.0,Ambient,136.8528,35.3398,136.8528,35.3398,Mino,Gifu,624.75,55.49,RFID-KZ-0030,YES,0.47,Low Risk,99.53,Excellent
PKG035,KZJP2026000035,2026-05-10 09:28:13.655726,"Joso, Ibaraki",Joso,Ibaraki,140.5099,36.4435,2026-05-08 12:05:42.041046,"Kurobe, Toyama",2026-05-10 05:03:29.485038,None,Delivered,NO,22.3,Ambient,137.2182,36.576,137.2182,36.576,Kurobe,Toyama,294.55,40.96,RFID-KZ-0035,YES,2.69,Low Risk,97.31,Excellent
PKG017,KZJP2026000017,2026-05-10 09:59:14.219755,"Gujo, Gifu",Gujo,Gifu,136.6402,35.4046,2026-05-08 20:12:39.983308,"Katsuragi, Nara",2026-05-10 11:19:55.812829,None,Delivered,NO,24.3,Ambient,135.7234,34.7346,135.7234,34.7346,Katsuragi,Nara,111.86,39.12,RFID-KZ-0017,YES,0.39,Low Risk,99.61,Excellent
PKG031,KZJP2026000031,2026-05-10 10:32:42.709155,"Kameoka, Kyoto",Kameoka,Kyoto,135.8612,34.9358,2026-05-08 06:47:01.355106,"Toshima, Tokyo",2026-05-10 03:53:30.638093,None,Delivered,NO,24.6,Ambient,139.7847,35.7653,139.7847,35.7653,Toshima,Tokyo,367.57,45.11,RFID-KZ-0031,YES,1.98,Low Risk,98.02,Excellent
PKG005,KZJP2026000005,2026-05-10 12:23:09.020899,"Hikari, Yamaguchi",Hikari,Yamaguchi,131.4782,34.0586,2026-05-09 05:04:56.793783,"Mima, Tokushima",2026-05-10 15:41:41.607651,None,Delivered,YES,5.6,Cool,134.652,33.9953,134.652,33.9953,Mima,Tokushima,292.56,34.61,RFID-KZ-0005,YES,2.5,Low Risk,97.5,Excellent
PKG027,KZJP2026000027,2026-05-10 14:04:51.332919,"Kaminoyama, Yamagata",Kaminoyama,Yamagata,140.4564,38.1648,2026-05-08 13:23:52.414036,"Tajimi, Gifu",2026-05-10 16:24:13.871084,None,Delivered,NO,24.8,Ambient,136.6402,35.4266,136.6402,35.4266,Tajimi,Gifu,456.18,51.01,RFID-KZ-0027,YES,1.32,Low Risk,98.68,Excellent
PKG029,KZJP2026000029,2026-05-10 14:50:42.418880,"Nikko, Tochigi",Nikko,Tochigi,139.8871,36.4352,2026-05-07 01:22:41.220084,"Shunan, Yamaguchi",2026-05-10 21:30:35.651529,None,Delivered,YES,5.5,Cool,131.3644,34.129,131.3644,34.129,Shunan,Yamaguchi,814.65,92.13,RFID-KZ-0029,YES,0.36,Low Risk,99.64,Excellent
PKG042,KZJP2026000042,2026-05-10 16:54:20.626103,"Nakatsugawa, Gifu",Nakatsugawa,Gifu,136.7642,35.2957,2026-05-07 21:46:27.570721,"Shimotsuma, Ibaraki",2026-05-10 14:38:18.941064,None,Delivered,NO,23.3,Ambient,140.5651,36.3613,140.5651,36.3613,Shimotsuma,Ibaraki,362.54,64.86,RFID-KZ-0042,YES,0.24,Low Risk,99.76,Excellent
PKG009,KZJP2026000009,2026-05-10 19:59:27.733176,"Oga, Akita",Oga,Akita,140.0154,39.6361,2026-05-07 21:37:57.812646,"Tosa, Kochi",2026-05-10 16:22:11.099658,None,Delivered,YES,5.1,Cool,133.444,33.4772,133.444,33.4772,Tosa,Kochi,901.39,66.74,RFID-KZ-0009,YES,1.94,Low Risk,98.06,Excellent
PKG018,KZJP2026000018,2026-05-10 22:32:30.497007,"Rumoi, Hokkaido",Rumoi,Hokkaido,141.4422,42.6718,2026-05-07 10:30:37.375504,"Aisai, Aichi",2026-05-10 20:06:15.850304,None,Delivered,NO,17.7,Ambient,136.984,35.2729,136.984,35.2729,Aisai,Aichi,908.16,81.59,RFID-KZ-0018,YES,2.63,Low Risk,97.37,Excellent
PKG044,KZJP2026000044,2026-05-11 00:33:54.286412,"Gotemba, Shizuoka",Gotemba,Shizuoka,138.4457,34.8736,2026-05-08 10:53:28.432311,"Minamisoma, Fukushima",2026-05-11 06:31:56.416065,None,Delivered,NO,16.7,Ambient,140.4328,37.8648,140.4328,37.8648,Minamisoma,Fukushima,377.18,67.64,RFID-KZ-0044,YES,1.67,Low Risk,98.33,Excellent
PKG065,KZJP2026000065,2026-05-11 18:35:45.356676,"Chita, Aichi",Chita,Aichi,137.0191,35.2226,2026-05-10 17:29:58.102798,"Seki, Gifu",2026-05-11 15:19:18.526615,None,Delivered,NO,22.6,Ambient,136.6726,35.3331,136.6726,35.3331,Seki,Gifu,33.77,21.82,RFID-KZ-0065,YES,0.61,Low Risk,99.39,Excellent
PKG092,KZJP2026000092,2026-05-11 20:48:36.506739,"Semboku, Akita",Semboku,Akita,139.9932,39.6691,2026-05-10 19:17:40.205663,"Kakuda, Miyagi",2026-05-12 00:40:03.194542,None,Delivered,NO,17.1,Ambient,140.965,38.1931,140.965,38.1931,Kakuda,Miyagi,184.39,29.37,RFID-KZ-0092,YES,1.9,Low Risk,98.1,Excellent
PKG014,KZJP2026000014,2026-05-11 23:56:11.356941,"Arakawa, Tokyo",Arakawa,Tokyo,139.6046,35.772,2026-05-09 17:31:25.363857,"Okayama, Okayama",2026-05-11 18:19:51.861570,None,Delivered,NO,17.9,Ambient,134.0249,34.7126,134.0249,34.7126,Okayama,Okayama,520.15,48.81,RFID-KZ-0014,YES,0.67,Low Risk,99.33,Excellent
PKG091,KZJP2026000091,2026-05-12 01:55:01.624853,"Shibuya, Tokyo",Shibuya,Tokyo,139.6567,35.5747,2026-05-10 20:33:27.849131,"Matsusaka, Mie",2026-05-12 05:05:55.205185,None,Delivered,NO,17.1,Ambient,136.3891,34.7413,136.3891,34.7413,Matsusaka,Mie,311.16,32.54,RFID-KZ-0091,YES,0.46,Low Risk,99.54,Excellent
PKG096,KZJP2026000096,2026-05-12 02:10:01.778631,"Kaminoyama, Yamagata",Kaminoyama,Yamagata,140.4564,38.1648,2026-05-11 00:14:54.470696,"Noda, Chiba",2026-05-12 07:08:25.992329,None,Delivered,NO,18.7,Ambient,140.2247,35.6272,140.2247,35.6272,Noda,Chiba,282.92,30.89,RFID-KZ-0096,YES,1.47,Low Risk,98.53,Excellent
PKG041,KZJP2026000041,2026-05-12 07:24:35.085517,"Sendai, Miyagi",Sendai,Miyagi,140.9772,38.3264,2026-05-07 19:34:10.186419,"Fukutsu, Fukuoka",2026-05-12 08:07:12.992394,None,Delivered,YES,5.2,Cool,130.507,33.5327,130.507,33.5327,Fukutsu,Fukuoka,1081.97,108.55,RFID-KZ-0041,YES,2.05,Low Risk,97.95,Excellent
PKG047,KZJP2026000047,2026-05-12 07:44:41.692787,"Onojo, Fukuoka",Onojo,Fukuoka,130.3146,33.6727,2026-05-09 12:55:24.630180,"Togane, Chiba",2026-05-12 05:56:25.390755,None,Delivered,NO,22.1,Ambient,139.9971,35.5578,139.9971,35.5578,Togane,Chiba,910.09,65.02,RFID-KZ-0047,YES,2.14,Low Risk,97.86,Excellent
PKG084,KZJP2026000084,2026-05-12 12:08:41.683150,"Tondabayashi, Osaka",Tondabayashi,Osaka,135.6206,34.6738,2026-05-11 06:37:15.434930,"Komaki, Aichi",2026-05-12 08:20:57.065542,None,Delivered,YES,6.4,Cool,136.7869,35.1704,136.7869,35.1704,Komaki,Aichi,119.82,25.73,RFID-KZ-0084,YES,0.51,Low Risk,99.49,Excellent
PKG073,KZJP2026000073,2026-05-12 15:21:31.791939,"Ageo, Saitama",Ageo,Saitama,139.6501,35.9813,2026-05-10 07:47:07.847278,"Takizawa, Iwate",2026-05-12 17:09:06.110543,None,Delivered,NO,21.8,Ambient,141.2157,39.6016,141.2157,39.6016,Takizawa,Iwate,425.4,57.37,RFID-KZ-0073,YES,1.92,Low Risk,98.08,Excellent
PKG062,KZJP2026000062,2026-05-12 18:51:49.315007,"Mitsuke, Niigata",Mitsuke,Niigata,139.0014,38.031,2026-05-11 06:14:34.217035,"Nanao, Ishikawa",2026-05-12 20:17:33.800754,None,Delivered,NO,18.8,Ambient,136.6828,36.6782,136.6828,36.6782,Nanao,Ishikawa,254.2,38.05,RFID-KZ-0062,YES,0.9,Low Risk,99.1,Excellent
PKG069,KZJP2026000069,2026-05-13 00:53:34.014051,"Ikeda, Osaka",Ikeda,Osaka,135.4152,34.6112,2026-05-11 19:34:14.090867,"Toyonaka, Osaka",2026-05-12 18:21:35.349051,None,Delivered,NO,18.5,Ambient,135.3828,34.7047,135.3828,34.7047,Toyonaka,Osaka,10.81,22.79,RFID-KZ-0069,YES,1.81,Low Risk,98.19,Excellent
PKG055,KZJP2026000055,2026-05-13 02:24:36.349580,"Shiroi, Chiba",Shiroi,Chiba,140.1871,35.5185,2026-05-11 15:40:33.390154,"Ashiya, Hyogo",2026-05-13 06:23:29.045715,None,Delivered,NO,21.3,Ambient,135.2885,34.6144,135.2885,34.6144,Ashiya,Hyogo,456.97,38.72,RFID-KZ-0055,YES,0.6,Low Risk,99.4,Excellent
PKG054,KZJP2026000054,2026-05-13 06:02:47.773841,"Hanyu, Saitama",Hanyu,Saitama,139.7088,35.7594,2026-05-12 21:15:46.448453,"Higashikurume, Tokyo",2026-05-13 15:04:13.283599,None,Delivered,NO,21.3,Ambient,139.7003,35.5698,139.7003,35.5698,Higashikurume,Tokyo,21.1,17.81,RFID-KZ-0054,YES,0.23,Low Risk,99.77,Excellent
PKG068,KZJP2026000068,2026-05-13 09:57:45.469243,"Matsue, Shimane",Matsue,Shimane,133.1539,35.5256,2026-05-11 06:21:11.375752,"Kitakata, Fukushima",2026-05-13 16:54:37.121274,None,Delivered,YES,6.9,Cool,140.5609,37.6742,140.5609,37.6742,Kitakata,Fukushima,702.81,58.56,RFID-KZ-0068,YES,1.96,Low Risk,98.04,Excellent
PKG098,KZJP2026000098,2026-05-13 15:17:20.051163,"Ashikaga, Tochigi",Ashikaga,Tochigi,139.9089,36.6722,2026-05-12 21:13:09.636005,"Toride, Ibaraki",2026-05-13 13:31:48.919424,None,Delivered,NO,22.7,Ambient,140.51,36.2394,140.51,36.2394,Toride,Ibaraki,72.15,16.31,RFID-KZ-0098,YES,0.22,Low Risk,99.78,Excellent
PKG083,KZJP2026000083,2026-05-13 15:56:03.809745,"Ono, Fukui",Ono,Fukui,136.1021,36.0762,2026-05-11 23:31:47.469754,"Kamo, Niigata",2026-05-13 14:34:40.379309,None,Delivered,NO,23.1,Ambient,139.1547,37.9361,139.1547,37.9361,Kamo,Niigata,340.91,39.05,RFID-KZ-0083,YES,1.67,Low Risk,98.33,Excellent
PKG063,KZJP2026000063,2026-05-13 18:21:49.185067,"Uozu, Toyama",Uozu,Toyama,137.1431,36.7929,2026-05-12 17:24:29.934900,"Tomioka, Gunma",2026-05-13 19:41:53.748469,None,Delivered,NO,19.8,Ambient,139.0258,36.5043,139.0258,36.5043,Tomioka,Gunma,171.0,26.29,RFID-KZ-0063,YES,1.19,Low Risk,98.81,Excellent
PKG052,KZJP2026000052,2026-05-13 21:37:52.724386,"Hokuto, Yamanashi",Hokuto,Yamanashi,138.5333,35.7787,2026-05-11 20:53:38.696311,"Kurihara, Miyagi",2026-05-13 19:50:56.491186,None,Delivered,YES,3.6,Cool,140.7626,38.3184,140.7626,38.3184,Kurihara,Miyagi,344.78,46.95,RFID-KZ-0052,YES,1.01,Low Risk,98.99,Excellent
PKG089,KZJP2026000089,2026-05-13 23:20:11.355325,"Izumisano, Osaka",Izumisano,Osaka,135.5655,34.5917,2026-05-11 02:39:50.021276,"Zama, Kanagawa",2026-05-13 19:29:54.369070,None,Delivered,NO,13.6,Ambient,139.647,35.5677,139.647,35.5677,Zama,Kanagawa,386.9,64.83,RFID-KZ-0089,YES,2.47,Low Risk,97.53,Excellent
PKG067,KZJP2026000067,2026-05-14 04:08:46.612167,"Suwa, Nagano",Suwa,Nagano,138.0939,36.5688,2026-05-13 01:38:36.856120,"Joetsu, Niigata",2026-05-14 05:06:46.192021,None,Delivered,NO,22.3,Ambient,138.9658,38.0132,138.9658,38.0132,Joetsu,Niigata,178.17,27.47,RFID-KZ-0067,YES,0.48,Low Risk,99.52,Excellent
PKG100,KZJP2026000100,2026-05-14 04:24:32.181745,"Sagae, Yamagata",Sagae,Yamagata,140.3678,38.1207,2026-05-13 14:13:26.668726,"Higashimatsushima, Miyagi",2026-05-14 05:14:30.734589,None,Delivered,NO,16.8,Ambient,140.7626,38.2194,140.7626,38.2194,Higashimatsushima,Miyagi,36.22,15.02,RFID-KZ-0100,YES,1.43,Low Risk,98.57,Excellent
PKG099,KZJP2026000099,2026-05-14 05:52:39.289416,"Marugame, Kagawa",Marugame,Kagawa,134.0729,34.4599,2026-05-12 06:44:41.129336,"Ota, Tokyo",2026-05-14 06:15:59.273968,None,Delivered,NO,18.5,Ambient,139.5824,35.739,139.5824,35.739,Ota,Tokyo,520.93,47.52,RFID-KZ-0099,YES,0.41,Low Risk,99.59,Excellent
