timestamp,carrier,tracking_number,package_id,origin,current_location,delivery_location,prefecture,latitude,longitude,latest_status,logistics_delay_reason,logistics_delay,order_date,expected_delivery_date,waiting_time_minutes,perishable,temperature,humidity,rfid_tag,rfid_verified,tamper_alert,traffic_status,inventory_level,asset_utilization
2026-05-04 04:47:26.860751,Japan Post,368571327438,PKG2220,Fukuoka,Nagoya Central Post Office,Sapporo,Tokyo,35.537138,139.498196,Delivered to the delivery address,None,0,2026-05-01 23:26:26.860788,2026-05-08 23:26:26.860792,1,No,14.2,85,RFID111122,False,No,Clear,156,72.98
2026-05-04 12:38:26.860849,Japan Post,578265539838,PKG1643,Fukuoka,Sapporo Central Post Office,Tokyo,Aichi,35.817463,139.183462,Arrival,None,0,2026-04-30 23:26:26.860885,2026-05-05 23:26:26.860888,77,No,14.8,74,RFID236803,False,No,Heavy,102,77.72
2026-05-04 06:55:26.860944,Yamato Transport,275815561985,PKG9122,Tokyo,Tokyo Central Post Office,Osaka,Hokkaido,35.349235,139.762245,Delay,None,1,2026-04-28 23:26:26.860998,2026-05-06 23:26:26.861002,108,No,22.3,47,RFID156709,False,No,Detour,270,75.77
2026-05-04 11:12:26.861057,Japan Post,465728873590,PKG6691,Osaka,Sapporo Central Post Office,Kyoto,Hokkaido,35.022179,139.333586,Bring it back due to your absence,Weather,1,2026-05-01 23:26:26.861100,2026-05-07 23:26:26.861103,172,Yes,11.6,61,RFID579622,True,Yes,Clear,326,64.85
2026-05-04 02:23:26.861163,Yamato Transport,262877661554,PKG7202,Fukuoka,Osaka Central Post Office,Sapporo,Kanagawa,35.573764,139.723955,Arrival Scan,None,0,2026-04-29 23:26:26.861199,2026-05-05 23:26:26.861203,136,No,3.7,47,RFID237165,True,Yes,Moderate,302,64.52
2026-05-03 23:44:26.861259,Yamato Transport,541435537794,PKG3751,Nagoya,Sapporo Central Post Office,Osaka,Kanagawa,35.595933,139.813634,Departure Scan,None,0,2026-04-28 23:26:26.861295,2026-05-08 23:26:26.861298,9,No,16.3,76,RFID942131,True,No,Clear,331,73.53
2026-05-04 18:05:26.861354,Yamato Transport,660219630867,PKG2956,Fukuoka,Naha Central Post Office,Osaka,Okinawa,35.553113,139.55737,Returned,Recipient Not Available,1,2026-04-29 23:26:26.861397,2026-05-05 23:26:26.861400,101,Yes,22.2,82,RFID119886,True,No,Heavy,286,98.56
2026-05-04 01:04:26.861467,Yamato Transport,270191602782,PKG7681,Nagoya,Nagoya Central Post Office,Tokyo,Kanagawa,35.775205,139.627397,Delay,Traffic,1,2026-05-01 23:26:26.861510,2026-05-08 23:26:26.861513,172,Yes,12.5,66,RFID288403,False,No,Heavy,492,76.58
2026-05-04 01:28:26.861568,Japan Post,786159351454,PKG2083,Osaka,Yokohama Sales Office,Osaka,Okinawa,35.349938,139.906323,Storage,Recipient Not Available,1,2026-05-01 23:26:26.861610,2026-05-08 23:26:26.861614,177,No,1.5,63,RFID448929,False,Yes,Moderate,60,60.52
2026-05-04 07:59:26.861669,Yamato Transport,146821738850,PKG2550,Osaka,Naha Central Post Office,Osaka,Osaka,35.349778,139.014818,Delay,None,1,2026-04-28 23:26:26.861712,2026-05-06 23:26:26.861715,168,No,11.2,65,RFID692870,True,No,Heavy,325,70.9
2026-05-03 23:54:26.861803,Yamato Transport,498461098353,PKG8155,Tokyo,Naha Central Post Office,Osaka,Okinawa,35.23787,139.867865,Departure Scan,None,0,2026-04-29 23:26:26.861839,2026-05-07 23:26:26.861842,140,Yes,9.8,51,RFID720692,True,No,Moderate,194,67.17
2026-05-04 13:48:26.861898,Yamato Transport,745733457170,PKG2886,Tokyo,Sapporo Central Post Office,Sapporo,Hokkaido,35.254725,139.137718,Returned,Recipient Not Available,1,2026-05-02 23:26:26.861940,2026-05-05 23:26:26.861943,45,No,11.7,35,RFID284055,False,No,Clear,340,95.39
2026-05-04 00:10:26.861999,Japan Post,288780278402,PKG1191,Osaka,Nagoya Central Post Office,Kyoto,Fukuoka,35.754772,139.311832,Storage,Address Unknown,1,2026-05-02 23:26:26.862041,2026-05-07 23:26:26.862045,48,No,-2.0,74,RFID239546,False,No,Moderate,452,84.52
2026-05-03 23:49:26.862100,Yamato Transport,135707031562,PKG9613,Osaka,Nagoya Central Post Office,Osaka,Tokyo,35.515363,139.386,Hold at Yamato,None,0,2026-04-29 23:26:26.862136,2026-05-07 23:26:26.862139,18,Yes,2.2,72,RFID714051,False,No,Moderate,133,73.33
2026-05-04 18:09:26.862195,Yamato Transport,467874953138,PKG8059,Osaka,Fukuoka Distribution Center,Tokyo,Aichi,35.55749,139.206865,Out for Delivery,None,0,2026-05-01 23:26:26.862231,2026-05-08 23:26:26.862234,113,Yes,-1.1,72,RFID326528,True,No,Clear,263,87.21
2026-05-04 22:33:26.862289,Japan Post,906812085176,PKG7953,Fukuoka,Nagoya Central Post Office,Sapporo,Hokkaido,35.73187,139.036166,Arrival,None,0,2026-05-02 23:26:26.862325,2026-05-08 23:26:26.862328,131,No,10.8,62,RFID110370,False,No,Clear,311,58.17
2026-05-04 10:11:26.862384,Japan Post,938760406208,PKG2989,Nagoya,Yokohama Sales Office,Tokyo,Kanagawa,35.275368,139.655156,Bring it back due to your absence,None,1,2026-04-28 23:26:26.862427,2026-05-06 23:26:26.862430,79,Yes,1.7,66,RFID680300,True,No,Clear,442,72.61
2026-05-04 12:15:26.862485,Yamato Transport,545204890290,PKG3002,Nagoya,Sapporo Central Post Office,Yokohama,Kanagawa,35.325728,139.098962,Out for Delivery,None,0,2026-04-30 23:26:26.862521,2026-05-05 23:26:26.862524,158,Yes,2.0,63,RFID948410,True,No,Moderate,407,54.28
2026-05-04 10:53:26.862580,Yamato Transport,341829807197,PKG5872,Osaka,Tokyo Central Post Office,Kyoto,Hokkaido,35.477326,139.010846,Arrival Scan,None,0,2026-05-01 23:26:26.862616,2026-05-08 23:26:26.862620,77,Yes,9.1,82,RFID159151,True,Yes,Moderate,327,56.96
2026-05-04 21:52:26.862676,Japan Post,972187480836,PKG8631,Fukuoka,Naha Central Post Office,Sapporo,Hokkaido,35.55201,139.293164,Returned to the sender,None,0,2026-05-01 23:26:26.862711,2026-05-06 23:26:26.862715,146,No,19.8,35,RFID858333,True,Yes,Heavy,19,51.86
2026-05-04 09:49:26.862774,Yamato Transport,379083944900,PKG1689,Osaka,Osaka Central Post Office,Osaka,Osaka,35.460579,139.039955,Arrival Scan,None,0,2026-04-28 23:26:26.862810,2026-05-08 23:26:26.862814,69,Yes,-2.5,77,RFID282954,True,No,Detour,124,92.62
2026-05-04 14:59:26.862869,Japan Post,384231821764,PKG3400,Osaka,Osaka Central Post Office,Kyoto,Osaka,35.909183,139.357417,Hand it over at the window,None,0,2026-05-01 23:26:26.862905,2026-05-08 23:26:26.862908,123,Yes,-0.2,63,RFID298129,True,No,Detour,495,93.8
2026-05-04 23:04:26.862964,Japan Post,106687891455,PKG5481,Tokyo,Fukuoka Distribution Center,Kyoto,Tokyo,35.74772,139.116923,Delivered to the delivery address,None,0,2026-04-28 23:26:26.863000,2026-05-07 23:26:26.863003,87,Yes,19.6,78,RFID734809,True,No,Clear,398,71.01
2026-05-04 16:26:26.863058,Yamato Transport,243101758484,PKG7973,Nagoya,Naha Central Post Office,Kyoto,Fukuoka,35.058259,139.266968,Arrival Scan,None,0,2026-05-01 23:26:26.863108,2026-05-08 23:26:26.863111,98,No,-1.8,66,RFID848532,False,No,Moderate,466,81.06
2026-05-04 10:29:26.863179,Japan Post,636063761263,PKG5863,Nagoya,Naha Central Post Office,Yokohama,Okinawa,35.914441,139.189116,Hand it over at the window,None,0,2026-04-28 23:26:26.863216,2026-05-08 23:26:26.863219,169,Yes,3.4,62,RFID543537,True,Yes,Clear,198,64.96
2026-05-04 10:53:26.863275,Japan Post,806456971411,PKG3928,Osaka,Naha Central Post Office,Kyoto,Hokkaido,35.881505,139.31914,Bring it back due to your absence,Mechanical Failure,1,2026-05-02 23:26:26.863318,2026-05-08 23:26:26.863321,8,Yes,7.7,87,RFID565329,False,No,Heavy,112,66.46
2026-05-04 10:51:26.863376,Japan Post,499982888055,PKG8254,Nagoya,Nagoya Central Post Office,Yokohama,Hokkaido,35.549577,139.428794,Delivered to the delivery address,None,0,2026-04-30 23:26:26.863411,2026-05-08 23:26:26.863415,124,No,11.1,44,RFID970545,False,No,Heavy,83,93.84
2026-05-04 17:37:26.863489,Yamato Transport,981598390819,PKG4344,Osaka,Tokyo Central Post Office,Kyoto,Okinawa,35.405135,139.208003,Returned,Mechanical Failure,1,2026-04-29 23:26:26.863531,2026-05-06 23:26:26.863534,98,No,3.2,78,RFID599186,False,No,Heavy,138,76.45
2026-05-04 05:01:26.863588,Japan Post,262410392860,PKG9080,Fukuoka,Sapporo Central Post Office,Yokohama,Okinawa,35.26447,139.897437,Returned to the sender,None,0,2026-05-03 23:26:26.863624,2026-05-08 23:26:26.863627,9,Yes,8.0,68,RFID701513,True,Yes,Detour,207,76.2
2026-05-04 09:48:26.863683,Yamato Transport,478865368607,PKG7455,Fukuoka,Fukuoka Distribution Center,Tokyo,Tokyo,35.316446,139.196244,Delivered,None,0,2026-04-29 23:26:26.863718,2026-05-07 23:26:26.863721,118,No,7.2,33,RFID764288,True,Yes,Heavy,191,96.38
2026-05-04 06:06:26.863777,Japan Post,403983648148,PKG8002,Fukuoka,Tokyo Central Post Office,Sapporo,Okinawa,35.925748,139.561592,Bring it back due to your absence,Mechanical Failure,1,2026-04-30 23:26:26.863819,2026-05-07 23:26:26.863822,20,Yes,-1.5,69,RFID692973,False,Yes,Detour,411,89.7
2026-05-04 17:36:26.863888,Japan Post,999482960690,PKG6155,Tokyo,Sapporo Central Post Office,Osaka,Kanagawa,35.698312,139.662531,Returned to the sender,None,0,2026-04-30 23:26:26.863925,2026-05-05 23:26:26.863928,2,Yes,2.8,77,RFID733121,True,No,Detour,279,94.47
2026-05-04 05:54:26.863985,Yamato Transport,437840343555,PKG6108,Nagoya,Fukuoka Distribution Center,Osaka,Kanagawa,35.91756,139.381186,Hold at Yamato,None,0,2026-05-02 23:26:26.864021,2026-05-06 23:26:26.864025,77,No,-1.3,86,RFID638479,False,No,Detour,399,84.79
2026-05-04 20:17:26.864110,Yamato Transport,276430283904,PKG2439,Osaka,Yokohama Sales Office,Osaka,Aichi,35.834916,139.791698,In Transit,None,0,2026-04-29 23:26:26.864145,2026-05-07 23:26:26.864149,55,No,9.8,76,RFID612400,True,Yes,Detour,97,97.18
2026-05-04 21:20:26.864203,Japan Post,569096988883,PKG3231,Osaka,Naha Central Post Office,Osaka,Kanagawa,35.942358,139.872855,Hand it over at the window,None,0,2026-04-29 23:26:26.864239,2026-05-07 23:26:26.864242,68,Yes,14.6,71,RFID584184,False,No,Detour,256,86.71
2026-05-04 23:02:26.864298,Yamato Transport,405543783068,PKG3309,Tokyo,Sapporo Central Post Office,Osaka,Osaka,35.462872,139.304523,Returned,None,1,2026-04-28 23:26:26.864340,2026-05-08 23:26:26.864343,92,No,0.6,47,RFID343498,False,Yes,Moderate,336,76.69
2026-05-04 05:20:26.864398,Japan Post,791788338274,PKG9257,Nagoya,Yokohama Sales Office,Tokyo,Aichi,35.036813,139.493546,Bring it back due to your absence,Recipient Not Available,1,2026-04-29 23:26:26.864441,2026-05-08 23:26:26.864444,170,Yes,8.1,76,RFID530697,False,Yes,Heavy,188,98.48
2026-05-04 01:36:26.864499,Yamato Transport,874278685713,PKG1329,Osaka,Osaka Central Post Office,Kyoto,Osaka,35.202026,139.067469,In Transit,None,0,2026-05-02 23:26:26.864535,2026-05-06 23:26:26.864538,96,Yes,7.9,80,RFID960627,False,No,Moderate,449,94.87
2026-05-04 18:06:26.864593,Yamato Transport,918895666725,PKG6811,Osaka,Osaka Central Post Office,Kyoto,Hokkaido,35.170127,139.12323,Hold at Yamato,None,0,2026-05-01 23:26:26.864629,2026-05-07 23:26:26.864632,109,Yes,10.9,75,RFID800156,False,No,Clear,336,77.84
2026-05-04 12:24:26.864702,Japan Post,668313990362,PKG9244,Osaka,Naha Central Post Office,Yokohama,Tokyo,35.019225,139.821831,Returned to the sender,None,0,2026-05-02 23:26:26.864738,2026-05-06 23:26:26.864741,177,Yes,20.1,34,RFID873515,True,Yes,Detour,168,79.88
2026-05-04 14:42:26.864796,Japan Post,446336703602,PKG1717,Osaka,Tokyo Central Post Office,Sapporo,Aichi,35.155955,139.662225,Arrival,None,0,2026-05-01 23:26:26.864832,2026-05-07 23:26:26.864835,168,Yes,-4.6,47,RFID740091,False,No,Clear,493,76.89
2026-05-04 07:22:26.864890,Yamato Transport,881953047589,PKG3405,Nagoya,Sapporo Central Post Office,Sapporo,Fukuoka,35.781582,139.824428,Under Investigation,Weather,1,2026-05-03 23:26:26.864933,2026-05-06 23:26:26.864936,2,No,7.7,49,RFID367746,True,No,Clear,364,60.38
2026-05-04 12:16:26.864991,Japan Post,696421171542,PKG4781,Tokyo,Fukuoka Distribution Center,Sapporo,Kanagawa,35.855824,139.832013,Bring it back due to your absence,Traffic,1,2026-05-01 23:26:26.865033,2026-05-07 23:26:26.865036,9,Yes,21.1,53,RFID736196,False,Yes,Clear,102,63.15
2026-05-04 04:06:26.865091,Japan Post,560206193410,PKG9294,Osaka,Sapporo Central Post Office,Tokyo,Okinawa,35.00149,139.364018,Hand it over at the window,None,0,2026-05-01 23:26:26.865127,2026-05-07 23:26:26.865130,67,Yes,6.9,36,RFID622417,False,No,Clear,25,99.31
2026-05-04 21:14:26.865185,Japan Post,522712991546,PKG2894,Fukuoka,Naha Central Post Office,Kyoto,Tokyo,35.50278,139.642551,Hand it over at the window,None,0,2026-05-02 23:26:26.865221,2026-05-05 23:26:26.865224,32,Yes,3.7,34,RFID712210,True,No,Moderate,210,71.98
2026-05-04 16:02:26.865308,Japan Post,485542850091,PKG9355,Fukuoka,Fukuoka Distribution Center,Tokyo,Kanagawa,35.237173,139.177093,Bring it back due to your absence,Mechanical Failure,1,2026-04-29 23:26:26.865350,2026-05-07 23:26:26.865354,38,No,4.0,70,RFID613175,False,Yes,Clear,188,62.39
2026-05-04 07:14:26.865431,Japan Post,580811687328,PKG8480,Nagoya,Tokyo Central Post Office,Osaka,Tokyo,35.846132,139.884636,Storage,None,1,2026-04-28 23:26:26.865474,2026-05-06 23:26:26.865477,141,Yes,9.9,50,RFID757015,True,No,Detour,291,70.35
2026-05-04 10:36:26.865532,Japan Post,43428610671,PKG6235,Tokyo,Nagoya Central Post Office,Osaka,Hokkaido,35.386209,139.362873,Arrival,None,0,2026-05-03 23:26:26.865567,2026-05-06 23:26:26.865571,28,Yes,17.1,71,RFID397283,True,Yes,Heavy,55,53.16
2026-05-04 05:06:26.865634,Japan Post,666388510464,PKG3962,Osaka,Fukuoka Distribution Center,Tokyo,Fukuoka,35.147568,139.605405,Returned to the sender,None,0,2026-04-30 23:26:26.865670,2026-05-07 23:26:26.865673,143,Yes,16.5,51,RFID259293,False,No,Moderate,174,80.26
2026-05-04 14:24:26.865730,Yamato Transport,975100085819,PKG5645,Osaka,Tokyo Central Post Office,Sapporo,Okinawa,35.634851,139.098018,Delay,Recipient Not Available,1,2026-05-01 23:26:26.865772,2026-05-06 23:26:26.865775,122,Yes,13.9,77,RFID728080,False,Yes,Detour,305,90.26
2026-05-04 00:55:26.865841,Yamato Transport,368829406215,PKG7297,Nagoya,Osaka Central Post Office,Sapporo,Fukuoka,35.133717,139.374206,Arrival Scan,None,0,2026-04-30 23:26:26.865877,2026-05-07 23:26:26.865880,83,Yes,16.4,69,RFID680853,True,Yes,Heavy,42,95.3
2026-05-03 23:33:26.865949,Yamato Transport,258901880138,PKG3700,Tokyo,Fukuoka Distribution Center,Yokohama,Okinawa,35.016613,139.616566,Hold at Yamato,None,0,2026-05-02 23:26:26.865985,2026-05-05 23:26:26.865988,20,No,15.6,55,RFID902755,False,Yes,Heavy,117,85.29
2026-05-04 21:17:26.866053,Yamato Transport,580694251576,PKG2183,Fukuoka,Osaka Central Post Office,Osaka,Hokkaido,35.249422,139.048311,Delay,Traffic,1,2026-04-30 23:26:26.866095,2026-05-05 23:26:26.866098,74,No,24.5,35,RFID613374,False,No,Moderate,283,99.75
2026-05-04 14:47:26.866161,Japan Post,923918015523,PKG2282,Osaka,Fukuoka Distribution Center,Osaka,Kanagawa,35.887106,139.739038,Bring it back due to your absence,Mechanical Failure,1,2026-04-29 23:26:26.866203,2026-05-07 23:26:26.866206,119,No,5.1,30,RFID470924,True,Yes,Moderate,208,94.11
2026-05-04 07:39:26.866261,Yamato Transport,739764523337,PKG7489,Nagoya,Nagoya Central Post Office,Sapporo,Okinawa,35.981132,139.682738,Returned,Traffic,1,2026-04-30 23:26:26.866304,2026-05-07 23:26:26.866307,5,No,3.7,50,RFID997138,True,Yes,Clear,317,50.13
2026-05-04 05:52:26.866362,Yamato Transport,893056658701,PKG7532,Nagoya,Nagoya Central Post Office,Yokohama,Fukuoka,35.765344,139.121458,Under Investigation,Mechanical Failure,1,2026-04-30 23:26:26.866405,2026-05-06 23:26:26.866408,118,No,2.0,40,RFID305293,True,Yes,Moderate,460,68.82
2026-05-04 12:24:26.866463,Yamato Transport,764379106058,PKG5334,Fukuoka,Yokohama Sales Office,Sapporo,Osaka,35.897988,139.801513,Delivered,None,0,2026-05-03 23:26:26.866498,2026-05-06 23:26:26.866502,46,Yes,10.8,51,RFID808393,False,Yes,Detour,304,78.13
2026-05-04 07:38:26.866557,Yamato Transport,622986723215,PKG4377,Fukuoka,Sapporo Central Post Office,Kyoto,Fukuoka,35.492083,139.399793,Out for Delivery,None,0,2026-05-03 23:26:26.866593,2026-05-08 23:26:26.866596,50,No,16.3,56,RFID306957,False,No,Moderate,119,61.65
2026-05-04 23:19:26.866651,Yamato Transport,137864766071,PKG9509,Osaka,Tokyo Central Post Office,Osaka,Okinawa,35.743498,139.712797,Out for Delivery,None,0,2026-04-29 23:26:26.866690,2026-05-05 23:26:26.866694,160,Yes,2.8,43,RFID584096,True,Yes,Detour,216,99.69
2026-05-04 04:10:26.866749,Japan Post,254052545024,PKG5718,Fukuoka,Yokohama Sales Office,Sapporo,Okinawa,35.844462,139.867284,Bring it back due to your absence,Recipient Not Available,1,2026-04-29 23:26:26.866791,2026-05-07 23:26:26.866794,168,No,14.3,51,RFID612873,False,No,Heavy,188,57.06
2026-05-04 22:26:26.866849,Japan Post,704506770798,PKG7307,Nagoya,Nagoya Central Post Office,Sapporo,Okinawa,35.710872,139.871556,Delivered to the delivery address,None,0,2026-04-30 23:26:26.866884,2026-05-05 23:26:26.866888,36,No,20.0,43,RFID617986,False,No,Clear,52,88.81
2026-05-04 05:32:26.866943,Japan Post,579563466052,PKG6149,Nagoya,Nagoya Central Post Office,Sapporo,Hokkaido,35.940913,139.039528,Bring it back due to your absence,Weather,1,2026-04-28 23:26:26.866985,2026-05-07 23:26:26.866989,5,Yes,4.3,36,RFID203918,True,No,Detour,488,74.31
2026-05-04 01:24:26.867044,Yamato Transport,346457357525,PKG3680,Tokyo,Yokohama Sales Office,Sapporo,Aichi,35.700128,139.914079,Out for Delivery,None,0,2026-05-01 23:26:26.867080,2026-05-08 23:26:26.867083,43,No,-4.0,78,RFID120563,False,Yes,Heavy,138,75.08
2026-05-03 23:27:26.867138,Yamato Transport,335620135592,PKG8417,Tokyo,Tokyo Central Post Office,Sapporo,Osaka,35.512346,139.080905,Returned,Mechanical Failure,1,2026-05-01 23:26:26.867180,2026-05-08 23:26:26.867183,67,No,7.6,74,RFID569338,False,Yes,Moderate,26,79.21
